rank,count,dr1,dr2,dr3,dr4,dr5
1,4,6,7,3,4,9
2,4,4,9,6,7,2
3,3,1,2,8,4,9
4,3,5,6,9,9,7
5,3,3,3,8,3,1
6,3,4,6,2,8,6
7,3,1,9,3,6,9
8,3,1,5,2,1,8
9,3,6,4,6,4,5
10,3,3,3,9,5,2
11,3,6,1,4,1,3
12,3,1,2,3,7,3
13,3,4,3,3,8,4
14,3,1,5,6,3,2
15,3,4,5,6,3,8
16,3,4,8,9,9,6
17,3,3,2,3,1,5
18,3,4,2,7,4,5
19,3,2,1,5,6,6
20,3,1,3,1,9,9
21,3,2,1,3,5,8
22,3,5,4,6,7,1
23,3,9,6,2,2,5
24,3,5,7,9,7,2
25,3,5,2,4,3,8
26,3,4,4,7,6,3
27,3,2,4,3,7,6
28,3,1,4,5,6,5
29,3,1,2,5,6,5
30,3,6,1,4,6,1
31,3,5,1,2,4,8
32,3,9,3,3,4,5
33,3,3,2,7,6,2
34,3,2,3,8,8,7
35,3,5,5,6,5,7
36,3,8,6,7,1,3
37,3,4,2,4,1,4
38,2,3,7,7,1,8
39,2,3,9,6,7,8
40,2,1,3,4,6,2
