slice_idx,window_start_date,window_end_date,from_dr,to_dr,count,p_to_given_from
0,1900-01-06,1907-09-07,1,1,4,0.097561
0,1900-01-06,1907-09-07,1,2,6,0.146341
0,1900-01-06,1907-09-07,1,3,2,0.04878
0,1900-01-06,1907-09-07,1,4,5,0.121951
0,1900-01-06,1907-09-07,1,5,5,0.121951
0,1900-01-06,1907-09-07,1,6,3,0.073171
0,1900-01-06,1907-09-07,1,7,5,0.121951
0,1900-01-06,1907-09-07,1,8,3,0.073171
0,1900-01-06,1907-09-07,1,9,8,0.195122
0,1900-01-06,1907-09-07,2,1,4,0.095238
0,1900-01-06,1907-09-07,2,2,6,0.142857
0,1900-01-06,1907-09-07,2,3,5,0.119048
0,1900-01-06,1907-09-07,2,4,5,0.119048
0,1900-01-06,1907-09-07,2,5,8,0.190476
0,1900-01-06,1907-09-07,2,6,2,0.047619
0,1900-01-06,1907-09-07,2,7,7,0.166667
0,1900-01-06,1907-09-07,2,8,2,0.047619
0,1900-01-06,1907-09-07,2,9,3,0.071429
0,1900-01-06,1907-09-07,3,1,6,0.15
0,1900-01-06,1907-09-07,3,2,3,0.075
0,1900-01-06,1907-09-07,3,3,4,0.1
0,1900-01-06,1907-09-07,3,4,3,0.075
0,1900-01-06,1907-09-07,3,5,5,0.125
0,1900-01-06,1907-09-07,3,6,6,0.15
0,1900-01-06,1907-09-07,3,7,2,0.05
0,1900-01-06,1907-09-07,3,8,7,0.175
0,1900-01-06,1907-09-07,3,9,4,0.1
0,1900-01-06,1907-09-07,4,1,5,0.116279
0,1900-01-06,1907-09-07,4,2,5,0.116279
0,1900-01-06,1907-09-07,4,3,2,0.046512
0,1900-01-06,1907-09-07,4,4,4,0.093023
0,1900-01-06,1907-09-07,4,5,3,0.069767
0,1900-01-06,1907-09-07,4,6,7,0.162791
0,1900-01-06,1907-09-07,4,7,4,0.093023
0,1900-01-06,1907-09-07,4,8,10,0.232558
0,1900-01-06,1907-09-07,4,9,3,0.069767
0,1900-01-06,1907-09-07,5,1,4,0.085106
0,1900-01-06,1907-09-07,5,2,5,0.106383
0,1900-01-06,1907-09-07,5,3,7,0.148936
0,1900-01-06,1907-09-07,5,4,4,0.085106
0,1900-01-06,1907-09-07,5,5,4,0.085106
0,1900-01-06,1907-09-07,5,6,5,0.106383
0,1900-01-06,1907-09-07,5,7,6,0.12766
0,1900-01-06,1907-09-07,5,8,6,0.12766
0,1900-01-06,1907-09-07,5,9,6,0.12766
0,1900-01-06,1907-09-07,6,1,1,0.02381
0,1900-01-06,1907-09-07,6,2,4,0.095238
0,1900-01-06,1907-09-07,6,3,3,0.071429
0,1900-01-06,1907-09-07,6,4,5,0.119048
0,1900-01-06,1907-09-07,6,5,6,0.142857
0,1900-01-06,1907-09-07,6,6,4,0.095238
0,1900-01-06,1907-09-07,6,7,6,0.142857
0,1900-01-06,1907-09-07,6,8,6,0.142857
0,1900-01-06,1907-09-07,6,9,7,0.166667
0,1900-01-06,1907-09-07,7,1,5,0.106383
0,1900-01-06,1907-09-07,7,2,2,0.042553
0,1900-01-06,1907-09-07,7,3,8,0.170213
0,1900-01-06,1907-09-07,7,4,3,0.06383
0,1900-01-06,1907-09-07,7,5,6,0.12766
0,1900-01-06,1907-09-07,7,6,6,0.12766
0,1900-01-06,1907-09-07,7,7,8,0.170213
0,1900-01-06,1907-09-07,7,8,4,0.085106
0,1900-01-06,1907-09-07,7,9,5,0.106383
0,1900-01-06,1907-09-07,8,1,6,0.113208
0,1900-01-06,1907-09-07,8,2,3,0.056604
0,1900-01-06,1907-09-07,8,3,6,0.113208
0,1900-01-06,1907-09-07,8,4,8,0.150943
0,1900-01-06,1907-09-07,8,5,7,0.132075
0,1900-01-06,1907-09-07,8,6,6,0.113208
0,1900-01-06,1907-09-07,8,7,5,0.09434
0,1900-01-06,1907-09-07,8,8,9,0.169811
0,1900-01-06,1907-09-07,8,9,3,0.056604
0,1900-01-06,1907-09-07,9,1,6,0.133333
0,1900-01-06,1907-09-07,9,2,7,0.155556
0,1900-01-06,1907-09-07,9,3,3,0.066667
0,1900-01-06,1907-09-07,9,4,6,0.133333
0,1900-01-06,1907-09-07,9,5,3,0.066667
0,1900-01-06,1907-09-07,9,6,3,0.066667
0,1900-01-06,1907-09-07,9,7,4,0.088889
0,1900-01-06,1907-09-07,9,8,6,0.133333
0,1900-01-06,1907-09-07,9,9,7,0.155556
1,1901-12-07,1909-08-07,1,1,8,0.166667
1,1901-12-07,1909-08-07,1,2,7,0.145833
1,1901-12-07,1909-08-07,1,3,1,0.020833
1,1901-12-07,1909-08-07,1,4,6,0.125
1,1901-12-07,1909-08-07,1,5,6,0.125
1,1901-12-07,1909-08-07,1,6,2,0.041667
1,1901-12-07,1909-08-07,1,7,4,0.083333
1,1901-12-07,1909-08-07,1,8,6,0.125
1,1901-12-07,1909-08-07,1,9,8,0.166667
1,1901-12-07,1909-08-07,2,1,2,0.052632
1,1901-12-07,1909-08-07,2,2,6,0.157895
1,1901-12-07,1909-08-07,2,3,5,0.131579
1,1901-12-07,1909-08-07,2,4,3,0.078947
1,1901-12-07,1909-08-07,2,5,6,0.157895
1,1901-12-07,1909-08-07,2,6,3,0.078947
1,1901-12-07,1909-08-07,2,7,6,0.157895
1,1901-12-07,1909-08-07,2,8,2,0.052632
1,1901-12-07,1909-08-07,2,9,5,0.131579
1,1901-12-07,1909-08-07,3,1,5,0.125
1,1901-12-07,1909-08-07,3,2,2,0.05
1,1901-12-07,1909-08-07,3,3,5,0.125
1,1901-12-07,1909-08-07,3,4,3,0.075
1,1901-12-07,1909-08-07,3,5,2,0.05
1,1901-12-07,1909-08-07,3,6,5,0.125
1,1901-12-07,1909-08-07,3,7,3,0.075
1,1901-12-07,1909-08-07,3,8,11,0.275
1,1901-12-07,1909-08-07,3,9,4,0.1
1,1901-12-07,1909-08-07,4,1,5,0.116279
1,1901-12-07,1909-08-07,4,2,3,0.069767
1,1901-12-07,1909-08-07,4,3,3,0.069767
