t_index,date,true_dr,pred_dr,hit,rolling_accuracy
600,1911-07-08,4,2,0,0.0
601,1911-07-15,4,2,0,0.0
602,1911-07-22,4,2,0,0.0
603,1911-07-29,3,2,0,0.0
604,1911-08-05,8,6,0,0.0
605,1911-08-12,5,1,0,0.0
606,1911-08-19,4,7,0,0.0
607,1911-08-26,8,2,0,0.0
608,1911-09-02,3,1,0,0.0
609,1911-09-09,1,6,0,0.0
610,1911-09-16,1,2,0,0.0
611,1911-09-23,5,2,0,0.0
612,1911-09-30,1,7,0,0.0
613,1911-10-07,2,2,1,0.071429
614,1911-10-14,4,5,0,0.066667
615,1911-10-21,3,2,0,0.0625
616,1911-10-28,3,1,0,0.058824
617,1911-11-04,5,1,0,0.055556
618,1911-11-11,7,7,1,0.105263
619,1911-11-18,2,6,0,0.1
620,1911-11-25,7,4,0,0.095238
621,1911-12-02,1,6,0,0.090909
622,1911-12-09,3,2,0,0.086957
623,1911-12-16,8,1,0,0.083333
624,1911-12-23,5,3,0,0.08
625,1911-12-30,1,7,0,0.076923
626,1912-01-06,3,2,0,0.074074
627,1912-01-13,8,1,0,0.071429
628,1912-01-20,8,3,0,0.068966
629,1912-01-27,8,3,0,0.066667
630,1912-02-03,4,3,0,0.064516
631,1912-02-10,2,2,1,0.09375
632,1912-02-17,5,4,0,0.090909
633,1912-02-24,2,7,0,0.088235
634,1912-03-02,9,5,0,0.085714
635,1912-03-09,6,9,0,0.083333
636,1912-03-16,3,4,0,0.081081
637,1912-03-23,9,1,0,0.078947
638,1912-03-30,1,9,0,0.076923
639,1912-04-06,2,2,1,0.1
640,1912-04-13,7,5,0,0.097561
641,1912-04-20,6,6,1,0.119048
642,1912-04-27,3,4,0,0.116279
643,1912-05-04,4,1,0,0.113636
644,1912-05-11,4,2,0,0.111111
645,1912-05-18,3,2,0,0.108696
646,1912-05-25,5,4,0,0.106383
647,1912-06-01,7,7,1,0.125
648,1912-06-08,3,6,0,0.122449
649,1912-06-15,8,4,0,0.12
650,1912-06-22,2,3,0,0.117647
651,1912-06-29,7,5,0,0.115385
652,1912-07-06,9,6,0,0.113208
653,1912-07-13,5,9,0,0.111111
654,1912-07-20,6,7,0,0.109091
655,1912-07-27,9,4,0,0.107143
656,1912-08-03,3,9,0,0.105263
657,1912-08-10,9,4,0,0.103448
658,1912-08-17,1,9,0,0.101695
659,1912-08-24,7,2,0,0.1
660,1912-08-31,1,6,0,0.098361
661,1912-09-07,8,2,0,0.096774
662,1912-09-14,4,3,0,0.095238
663,1912-09-21,7,2,0,0.09375
664,1912-09-28,1,6,0,0.092308
665,1912-10-05,7,2,0,0.090909
666,1912-10-12,8,6,0,0.089552
667,1912-10-19,4,3,0,0.088235
668,1912-10-26,1,2,0,0.086957
669,1912-11-02,3,2,0,0.085714
670,1912-11-09,6,4,0,0.084507
671,1912-11-16,8,4,0,0.083333
672,1912-11-23,9,3,0,0.082192
673,1912-11-30,9,9,1,0.094595
674,1912-12-07,8,9,0,0.093333
675,1912-12-14,8,3,0,0.092105
676,1912-12-21,8,3,0,0.090909
677,1912-12-28,9,3,0,0.089744
678,1913-01-04,6,9,0,0.088608
679,1913-01-11,8,4,0,0.0875
680,1913-01-18,9,3,0,0.08642
681,1913-01-25,1,9,0,0.085366
682,1913-02-01,8,2,0,0.084337
683,1913-02-08,3,9,0,0.083333
