slice_idx,window_start_date,window_end_date,n_draws,entropy_bits,max_entropy_bits,mode_dr,mode_freq,mode_share
0,1900-01-06,1907-09-07,401,3.148082,3.169925,9,65,0.162095
1,1901-12-07,1909-08-07,401,3.151179,3.169925,9,62,0.154613
2,1903-11-07,1911-07-08,401,3.159469,3.169925,3,52,0.129676
3,1905-10-07,1913-06-07,401,3.159001,3.169925,3,54,0.134663
4,1907-09-07,1915-05-08,401,3.153886,3.169925,3,57,0.142145
5,1909-08-07,1917-04-07,401,3.141071,3.169925,3,60,0.149626
6,1911-07-08,1919-03-08,401,3.142448,3.169925,3,56,0.139651
7,1913-06-07,1921-02-05,401,3.152739,3.169925,2,54,0.134663
8,1915-05-08,1923-01-06,401,3.157432,3.169925,3,54,0.134663
9,1917-04-07,1924-12-06,401,3.161963,3.169925,6,52,0.129676
10,1919-03-08,1926-11-06,401,3.166487,3.169925,9,51,0.127182
11,1921-02-05,1928-10-06,401,3.158287,3.169925,7,52,0.129676
12,1923-01-06,1930-09-06,401,3.164341,3.169925,9,50,0.124688
13,1924-12-06,1932-08-06,401,3.156585,3.169925,3,53,0.13217
14,1926-11-06,1934-07-07,401,3.156982,3.169925,6,52,0.129676
15,1928-10-06,1936-06-06,401,3.157723,3.169925,3,53,0.13217
16,1930-09-06,1938-05-07,401,3.15975,3.169925,2,50,0.124688
17,1932-08-06,1940-04-06,401,3.160881,3.169925,2,51,0.127182
18,1934-07-07,1942-03-07,401,3.162299,3.169925,1,51,0.127182
19,1936-06-06,1944-02-05,401,3.161678,3.169925,2,53,0.13217
20,1938-05-07,1946-01-05,401,3.157903,3.169925,2,52,0.129676
21,1940-04-06,1947-12-13,401,3.149889,3.169925,1,59,0.147132
22,1942-03-07,1949-11-12,401,3.156151,3.169925,4,53,0.13217
23,1944-02-05,1951-10-13,401,3.160784,3.169925,4,52,0.129676
24,1946-01-05,1953-09-12,401,3.159658,3.169925,1,50,0.124688
25,1947-12-13,1955-08-13,401,3.16003,3.169925,2,55,0.137157
26,1949-11-12,1957-07-13,401,3.163008,3.169925,1,52,0.129676
27,1951-10-13,1959-06-13,401,3.165352,3.169925,1,51,0.127182
28,1953-09-12,1961-05-13,401,3.168541,3.169925,7,48,0.119701
29,1955-08-13,1963-04-20,401,3.159956,3.169925,8,54,0.134663
30,1957-07-13,1965-03-20,401,3.161235,3.169925,8,57,0.142145
31,1959-06-13,1967-02-18,401,3.146542,3.169925,8,60,0.149626
32,1961-05-13,1969-01-18,401,3.147749,3.169925,8,54,0.134663
33,1963-04-20,1970-12-19,401,3.157957,3.169925,4,51,0.127182
34,1965-03-20,1972-11-18,401,3.156816,3.169925,1,53,0.13217
35,1967-02-18,1974-10-19,401,3.15725,3.169925,6,57,0.142145
36,1969-01-18,1976-09-18,401,3.163454,3.169925,6,53,0.13217
37,1970-12-19,1978-08-19,401,3.162328,3.169925,8,52,0.129676
38,1972-11-18,1980-07-19,401,3.162952,3.169925,8,55,0.137157
39,1974-10-19,1982-06-19,401,3.156624,3.169925,8,58,0.144638
40,1976-09-18,1984-05-19,401,3.152567,3.169925,1,53,0.13217
41,1978-08-19,1986-04-19,401,3.154621,3.169925,1,55,0.137157
42,1980-07-19,1988-03-19,401,3.161214,3.169925,1,54,0.134663
43,1982-06-19,1990-02-17,401,3.167369,3.169925,2,50,0.124688
44,1984-05-19,1992-01-18,401,3.166905,3.169925,4,51,0.127182
45,1986-04-19,1993-12-18,401,3.16142,3.169925,4,55,0.137157
46,1988-03-19,1995-11-18,401,3.166825,3.169925,4,49,0.122195
47,1990-02-17,1997-06-28,401,3.164038,3.169925,2,50,0.124688
48,1992-01-18,1998-06-13,401,3.164963,3.169925,2,52,0.129676
49,1993-12-18,1999-05-29,401,3.163072,3.169925,2,50,0.124688
50,1995-11-18,2000-05-13,401,3.158928,3.169925,9,53,0.13217
51,1997-06-28,2001-04-28,401,3.160775,3.169925,3,50,0.124688
52,1998-06-13,2002-04-10,401,3.161519,3.169925,6,53,0.13217
53,1999-05-29,2003-03-08,401,3.166012,3.169925,6,51,0.127182
54,2000-05-13,2004-02-21,401,3.167955,3.169925,2,47,0.117207
55,2001-04-28,2005-02-05,401,3.165193,3.169925,7,50,0.124688
56,2002-04-10,2005-11-10,401,3.161282,3.169925,7,55,0.137157
57,2003-03-08,2006-07-01,401,3.161304,3.169925,7,53,0.13217
58,2004-02-21,2007-02-20,401,3.159166,3.169925,8,55,0.137157
59,2005-02-05,2007-10-11,401,3.160835,3.169925,8,55,0.137157
60,2005-11-10,2008-05-31,401,3.16223,3.169925,8,53,0.13217
61,2006-07-01,2009-01-20,401,3.145838,3.169925,8,61,0.15212
62,2007-02-20,2009-09-10,401,3.151123,3.169925,9,55,0.137157
63,2007-10-11,2010-05-03,401,3.152957,3.169925,9,58,0.144638
64,2008-05-31,2010-12-21,401,3.157109,3.169925,5,56,0.139651
