cycle_id,date,draw_index_year,n_balls,n_unique,duplicate_excess
0,1871-01-07,1,35,31,4
0,1871-01-14,2,35,29,6
0,1871-01-21,3,35,27,8
0,1871-01-28,4,35,30,5
0,1871-02-04,5,35,28,7
0,1871-02-11,6,35,30,5
0,1871-02-18,7,35,26,9
0,1871-02-25,8,35,27,8
0,1871-03-04,9,35,29,6
0,1871-03-11,10,35,29,6
0,1871-03-18,11,35,31,4
1,1871-03-25,12,35,31,4
1,1871-04-01,13,35,28,7
1,1871-04-08,14,35,30,5
1,1871-04-15,15,35,28,7
1,1871-04-22,16,35,32,3
1,1871-04-29,17,35,31,4
1,1871-05-06,18,35,29,6
1,1871-05-13,19,35,30,5
1,1871-05-20,20,35,31,4
1,1871-05-27,21,35,29,6
1,1871-06-03,22,35,27,8
1,1871-06-10,23,35,29,6
2,1871-06-17,24,35,31,4
2,1871-06-24,25,35,30,5
2,1871-07-01,26,35,27,8
2,1871-07-08,27,35,28,7
2,1871-07-15,28,35,31,4
2,1871-07-22,29,35,32,3
2,1871-07-29,30,35,30,5
2,1871-08-05,31,35,27,8
2,1871-08-12,32,35,30,5
3,1871-08-19,33,35,29,6
3,1871-08-26,34,35,28,7
3,1871-09-02,35,35,30,5
3,1871-09-09,36,35,32,3
3,1871-09-16,37,35,28,7
3,1871-09-23,38,35,28,7
3,1871-09-30,39,35,30,5
3,1871-10-07,40,35,29,6
3,1871-10-14,41,35,32,3
3,1871-10-21,42,35,27,8
3,1871-10-28,43,35,27,8
3,1871-11-04,44,35,30,5
3,1871-11-11,45,35,28,7
3,1871-11-18,46,35,30,5
3,1871-11-25,47,35,30,5
3,1871-12-02,48,35,30,5
4,1871-12-09,49,35,30,5
4,1871-12-16,50,35,30,5
4,1871-12-23,51,35,29,6
4,1871-12-30,52,35,31,4
4,1872-01-06,1,35,30,5
4,1872-01-13,2,35,32,3
4,1872-01-20,3,35,31,4
4,1872-01-27,4,35,31,4
4,1872-02-03,5,35,30,5
4,1872-02-10,6,35,33,2
4,1872-02-17,7,35,28,7
4,1872-02-24,8,35,27,8
4,1872-03-02,9,35,30,5
4,1872-03-09,10,35,30,5
4,1872-03-16,11,35,28,7
4,1872-03-23,12,35,31,4
4,1872-03-30,13,35,29,6
5,1872-04-06,14,35,31,4
5,1872-04-13,15,35,30,5
5,1872-04-20,16,35,34,1
5,1872-04-27,17,35,30,5
5,1872-05-04,18,35,32,3
5,1872-05-11,19,35,27,8
5,1872-05-18,20,35,28,7
5,1872-05-25,21,35,28,7
5,1872-06-01,22,35,28,7
5,1872-06-08,23,35,30,5
6,1872-06-15,24,35,31,4
6,1872-06-22,25,35,25,10
6,1872-07-01,26,35,33,2
6,1872-07-06,27,35,27,8
6,1872-07-13,28,35,32,3
6,1872-07-20,29,35,31,4
6,1872-07-27,30,35,27,8
6,1872-08-03,31,35,29,6
6,1872-08-10,32,35,31,4
6,1872-08-17,33,35,31,4
6,1872-08-24,34,35,29,6
6,1872-08-31,35,35,29,6
6,1872-09-07,36,35,27,8
6,1872-09-14,37,35,30,5
7,1872-09-21,38,35,28,7
7,1872-09-28,39,35,28,7
7,1872-10-05,40,35,28,7
7,1872-10-12,41,35,31,4
7,1872-10-19,42,35,32,3
7,1872-10-26,43,35,30,5
7,1872-11-02,44,35,29,6
7,1872-11-09,45,35,33,2
7,1872-11-16,46,35,28,7
7,1872-11-23,47,35,31,4
7,1872-11-30,48,35,28,7
7,1872-12-07,49,35,31,4
7,1872-12-14,50,35,31,4
7,1872-12-21,51,35,32,3
8,1872-12-28,52,35,30,5
8,1873-01-04,1,35,30,5
8,1873-01-11,2,35,30,5
8,1873-01-18,3,35,29,6
