step,n_cycles,entropy_bits,max_entropy_bits,ratio
1,1104,6.414153,6.491853,0.988031
2,1104,6.42416,6.491853,0.989573
3,1104,6.427743,6.491853,0.990125
4,1104,6.44728,6.491853,0.993134
5,1104,6.436721,6.491853,0.991507
6,1104,6.411638,6.491853,0.987644
7,1104,6.422762,6.491853,0.989357
8,1104,6.416597,6.491853,0.988408
9,1104,6.438541,6.491853,0.991788
10,1104,6.436304,6.491853,0.991443
11,1104,6.427293,6.491853,0.990055
12,1104,6.432167,6.491853,0.990806
13,1104,6.434015,6.491853,0.991091
14,1104,6.437534,6.491853,0.991633
15,1104,6.446331,6.491853,0.992988
16,1104,6.434079,6.491853,0.991101
17,1104,6.432996,6.491853,0.990934
18,1104,6.429304,6.491853,0.990365
19,1104,6.42806,6.491853,0.990173
20,1104,6.425533,6.491853,0.989784
21,1104,6.434307,6.491853,0.991136
22,1104,6.437193,6.491853,0.99158
23,1104,6.43088,6.491853,0.990608
24,1104,6.428766,6.491853,0.990282
25,1104,6.423983,6.491853,0.989545
26,1104,6.439502,6.491853,0.991936
27,1104,6.424754,6.491853,0.989664
28,1104,6.435664,6.491853,0.991345
29,1104,6.428153,6.491853,0.990188
30,1104,6.420644,6.491853,0.989031
31,1104,6.4416,6.491853,0.992259
32,1104,6.443928,6.491853,0.992618
33,1104,6.4418,6.491853,0.99229
34,1104,6.431269,6.491853,0.990668
35,1104,6.42785,6.491853,0.990141
36,1104,6.438642,6.491853,0.991803
37,1104,6.429581,6.491853,0.990408
38,1104,6.434593,6.491853,0.99118
39,1104,6.439511,6.491853,0.991937
40,1104,6.428575,6.491853,0.990253
41,1104,6.432873,6.491853,0.990915
42,1104,6.433043,6.491853,0.990941
43,1104,6.432464,6.491853,0.990852
44,1104,6.445487,6.491853,0.992858
45,1104,6.447112,6.491853,0.993108
46,1104,6.427893,6.491853,0.990148
47,1104,6.434286,6.491853,0.991132
48,1104,6.441091,6.491853,0.992181
49,1104,6.432354,6.491853,0.990835
50,1104,6.454642,6.491853,0.994268
51,1104,6.426712,6.491853,0.989966
52,1104,6.438405,6.491853,0.991767
53,1104,6.433911,6.491853,0.991075
54,1104,6.441419,6.491853,0.992231
55,1104,6.423192,6.491853,0.989424
56,1104,6.434607,6.491853,0.991182
57,1104,6.423609,6.491853,0.989488
58,1104,6.429262,6.491853,0.990359
59,1104,6.434942,6.491853,0.991233
60,1104,6.446513,6.491853,0.993016
61,1104,6.432584,6.491853,0.99087
62,1104,6.421487,6.491853,0.989161
63,1104,6.433984,6.491853,0.991086
64,1104,6.44318,6.491853,0.992503
65,1104,6.444381,6.491853,0.992687
66,1104,6.432482,6.491853,0.990855
67,1104,6.438428,6.491853,0.99177
68,1104,6.419036,6.491853,0.988783
69,1104,6.44449,6.491853,0.992704
70,1104,6.423766,6.491853,0.989512
71,1104,6.433696,6.491853,0.991042
72,1104,6.417493,6.491853,0.988546
73,1104,6.431251,6.491853,0.990665
74,1104,6.432888,6.491853,0.990917
75,1104,6.431933,6.491853,0.99077
76,1104,6.440071,6.491853,0.992024
77,1104,6.440156,6.491853,0.992037
78,1104,6.447226,6.491853,0.993126
79,1104,6.424352,6.491853,0.989602
80,1104,6.445469,6.491853,0.992855
81,1104,6.434128,6.491853,0.991108
82,1104,6.421572,6.491853,0.989174
83,1104,6.443306,6.491853,0.992522
84,1104,6.430615,6.491853,0.990567
85,1104,6.433549,6.491853,0.991019
86,1104,6.427296,6.491853,0.990056
87,1104,6.435573,6.491853,0.991331
88,1104,6.426326,6.491853,0.989906
89,1104,6.435646,6.491853,0.991342
90,1104,6.444804,6.491853,0.992753
