cycle_id,step,first_hit_value,chained,chained_mod90
0,1,15,16,16
0,2,71,87,87
0,3,18,105,15
0,4,64,169,79
0,5,81,250,70
0,6,63,313,43
0,7,69,382,22
0,8,56,438,78
0,9,9,447,87
0,10,55,502,52
0,11,36,538,88
0,12,22,560,20
0,13,73,633,3
0,14,24,657,27
0,15,31,688,58
0,16,72,760,40
0,17,58,818,8
0,18,86,904,4
0,19,77,981,81
0,20,14,995,5
0,21,42,1037,47
0,22,33,1070,80
0,23,20,1090,10
0,24,79,1169,89
0,25,2,1171,1
0,26,27,1198,28
0,27,4,1202,32
0,28,29,1231,61
0,29,52,1283,23
0,30,80,1363,13
0,31,7,1370,20
0,32,60,1430,80
0,33,46,1476,36
0,34,76,1552,22
0,35,70,1622,2
0,36,66,1688,68
0,37,35,1723,13
0,38,47,1770,60
0,39,19,1789,79
0,40,84,1873,73
0,41,3,1876,76
0,42,89,1965,75
0,43,12,1977,87
0,44,6,1983,3
0,45,30,2013,33
0,46,1,2014,34
0,47,43,2057,77
0,48,17,2074,4
0,49,44,2118,48
0,50,50,2168,8
0,51,74,2242,82
0,52,8,2250,90
0,53,41,2291,41
0,54,28,2319,69
0,55,78,2397,57
0,56,10,2407,67
0,57,54,2461,31
0,58,32,2493,63
0,59,82,2575,55
0,60,59,2634,24
0,61,45,2679,69
0,62,34,2713,13
0,63,21,2734,34
0,64,13,2747,47
0,65,37,2784,84
0,66,5,2789,89
0,67,40,2829,39
0,68,11,2840,50
0,69,88,2928,48
0,70,38,2966,86
0,71,67,3033,63
0,72,23,3056,86
0,73,87,3143,83
0,74,48,3191,41
0,75,85,3276,36
0,76,25,3301,61
0,77,68,3369,39
0,78,83,3452,32
0,79,57,3509,89
0,80,75,3584,74
0,81,53,3637,37
0,82,39,3676,76
0,83,62,3738,48
0,84,26,3764,74
0,85,65,3829,49
0,86,49,3878,8
0,87,51,3929,59
0,88,90,4019,59
0,89,61,4080,30
0,90,16,4096,46
1,1,88,89,89
1,2,26,115,25
1,3,17,132,42
1,4,49,181,1
1,5,41,222,42
1,6,73,295,25
1,7,16,311,41
1,8,75,386,26
1,9,90,476,26
1,10,19,495,45
1,11,35,530,80
1,12,32,562,22
1,13,62,624,84
1,14,14,638,8
1,15,77,715,85
1,16,56,771,51
1,17,60,831,21
1,18,85,916,16
1,19,72,988,88
1,20,40,1028,38
1,21,3,1031,41
1,22,54,1085,5
1,23,10,1095,15
1,24,28,1123,43
1,25,42,1165,85
1,26,2,1167,87
1,27,45,1212,42
1,28,15,1227,57
1,29,25,1252,82
1,30,74,1326,66
1,31,23,1349,89
1,32,66,1415,65
1,33,12,1427,77
1,34,6,1433,83
1,35,78,1511,71
1,36,61,1572,42
1,37,58,1630,10
1,38,84,1714,4
1,39,65,1779,69
1,40,47,1826,26
1,41,18,1844,44
1,42,9,1853,53
1,43,36,1889,89
1,44,8,1897,7
1,45,70,1967,77
1,46,68,2035,55
1,47,59,2094,24
1,48,46,2140,70
1,49,30,2170,10
1,50,52,2222,62
1,51,27,2249,89
1,52,57,2306,56
1,53,48,2354,14
1,54,83,2437,7
1,55,53,2490,60
1,56,1,2491,61
1,57,29,2520,90
1,58,13,2533,13
1,59,38,2571,51
1,60,86,2657,47
1,61,37,2694,84
1,62,71,2765,65
1,63,51,2816,26
1,64,89,2905,25
1,65,5,2910,30
1,66,50,2960,80
1,67,4,2964,84
1,68,34,2998,28
1,69,31,3029,59
1,70,7,3036,66
1,71,63,3099,39
1,72,76,3175,25
1,73,11,3186,36
1,74,43,3229,79
1,75,39,3268,28
1,76,87,3355,25
1,77,69,3424,4
1,78,55,3479,59
1,79,33,3512,2
1,80,22,3534,24
1,81,82,3616,16
1,82,67,3683,83
1,83,20,3703,13
1,84,24,3727,37
1,85,64,3791,11
1,86,21,3812,32
1,87,44,3856,76
1,88,81,3937,67
1,89,80,4017,57
1,90,79,4096,46
2,1,49,50,50
2,2,22,72,72
2,3,58,130,40
2,4,55,185,5
2,5,54,239,59
2,6,82,321,51
2,7,83,404,44
2,8,28,432,72
2,9,84,516,66
2,10,10,526,76
2,11,47,573,33
2,12,87,660,30
2,13,68,728,8
2,14,62,790,70
2,15,17,807,87
2,16,40,847,37
2,17,45,892,82
2,18,48,940,40
2,19,39,979,79
2,20,69,1048,58
2,21,60,1108,28
2,22,52,1160,80
2,23,31,1191,21
2,24,21,1212,42
2,25,24,1236,66
2,26,25,1261,1
2,27,64,1325,65
2,28,7,1332,72
2,29,53,1385,35
2,30,30,1415,65
2,31,85,1500,60
2,32,57,1557,27
2,33,43,1600,70
2,34,20,1620,90
2,35,32,1652,32
2,36,86,1738,28
2,37,35,1773,63
2,38,59,1832,32
2,39,50,1882,82
2,40,4,1886,86
2,41,27,1913,23
2,42,12,1925,35
2,43,29,1954,64
2,44,33,1987,7
2,45,1,1988,8
2,46,19,2007,27
2,47,15,2022,42
2,48,73,2095,25
2,49,3,2098,28
2,50,89,2187,27
2,51,76,2263,13
2,52,9,2272,22
2,53,79,2351,11
2,54,61,2412,72
2,55,66,2478,48
2,56,72,2550,30
2,57,41,2591,71
2,58,70,2661,51
2,59,5,2666,56
2,60,75,2741,41
2,61,67,2808,18
2,62,80,2888,8
2,63,18,2906,26
2,64,36,2942,62
2,65,65,3007,37
2,66,46,3053,83
2,67,74,3127,67
2,68,14,3141,81
2,69,78,3219,69
2,70,13,3232,82
2,71,77,3309,69
2,72,2,3311,71
2,73,8,3319,79
2,74,11,3330,90
2,75,6,3336,6
2,76,63,3399,69
2,77,26,3425,5
2,78,38,3463,43
2,79,71,3534,24
2,80,88,3622,22
2,81,44,3666,66
2,82,37,3703,13
2,83,34,3737,47
2,84,90,3827,47
2,85,81,3908,38
2,86,42,3950,80
2,87,23,3973,13
2,88,51,4024,64
2,89,56,4080,30
2,90,16,4096,46
3,1,63,64,64
3,2,65,129,39
3,3,90,219,39
3,4,52,271,1
3,5,88,359,89
3,6,27,386,26
3,7,9,395,35
3,8,62,457,7
3,9,54,511,61
3,10,83,594,54
3,11,19,613,73
3,12,79,692,62
3,13,5,697,67
3,14,8,705,75
3,15,13,718,88
3,16,66,784,64
3,17,4,788,68
3,18,44,832,22
3,19,85,917,17
3,20,78,995,5
3,21,84,1079,89
3,22,72,1151,71
3,23,31,1182,12
3,24,48,1230,60
3,25,2,1232,62
3,26,6,1238,68
3,27,58,1296,36
3,28,33,1329,69
3,29,1,1330,70
3,30,61,1391,41
3,31,60,1451,11
3,32,3,1454,14
3,33,28,1482,42
3,34,40,1522,82
3,35,12,1534,4
3,36,35,1569,39
3,37,11,1580,50
3,38,15,1595,65
3,39,69,1664,44
3,40,34,1698,78
3,41,45,1743,33
3,42,21,1764,54
3,43,43,1807,7
3,44,57,1864,64
3,45,47,1911,21
3,46,18,1929,39
3,47,29,1958,68
3,48,59,2017,37
3,49,53,2070,90
3,50,68,2138,68
3,51,71,2209,49
3,52,32,2241,81
3,53,42,2283,33
3,54,30,2313,63
3,55,87,2400,60
3,56,86,2486,56
3,57,14,2500,70
3,58,41,2541,21
3,59,10,2551,31
3,60,89,2640,30
3,61,7,2647,37
3,62,36,2683,73
3,63,16,2699,89
3,64,64,2763,63
3,65,75,2838,48
3,66,74,2912,32
3,67,80,2992,22
3,68,56,3048,78
3,69,50,3098,38
3,70,55,3153,3
3,71,77,3230,80
3,72,25,3255,15
3,73,73,3328,88
3,74,49,3377,47
