step,mean_value,std_value
1,46.0589,25.5063
2,45.4556,26.0132
3,44.9384,26.292
4,44.4303,26.412
5,45.0272,25.5448
6,45.5643,26.5073
7,45.1404,25.9367
8,44.9574,26.479
9,44.8714,25.6025
10,45.5716,26.4778
11,45.4457,25.7717
12,45.2527,25.7427
13,45.087,26.1443
14,44.2464,26.1968
15,46.1114,25.4094
16,45.1395,26.4105
17,46.2871,26.276
18,45.5933,26.5934
19,45.4819,25.8129
20,45.9737,25.8792
21,45.6377,26.7923
22,45.5806,25.7479
23,46.1395,25.6708
24,45.3514,25.7811
25,45.2926,25.9654
26,46.9321,26.2969
27,45.1821,25.6547
28,45.0697,26.9682
29,45.6178,25.718
30,45.0453,26.4955
31,45.3388,25.9405
32,45.3759,26.3447
33,45.5643,25.5843
34,46.615,25.8977
35,46.0797,25.9702
36,45.3261,25.5112
37,45.8315,25.4726
38,45.288,26.3986
39,45.1141,26.1378
40,45.9955,25.9751
41,46.1875,25.8486
42,45.4937,25.796
43,45.3451,25.6021
44,45.6341,26.0158
45,46.0109,26.2974
46,45.8505,26.4223
47,45.3841,25.9012
48,44.4112,26.2425
49,44.7609,25.9981
50,46.1014,25.845
51,45.2192,25.0719
52,45.2138,26.2683
53,45.9701,25.6282
54,45.8315,26.0026
55,44.9837,26.0957
56,45.0643,25.7741
57,46.9139,25.6219
58,45.471,25.3744
59,46.4139,26.2686
60,46.2165,26.1361
61,44.6884,25.9828
62,46.4583,25.9889
63,44.7781,25.9734
64,45.1966,26.0594
65,45.1839,25.5704
66,45.9484,25.7419
67,45.7038,26.1104
68,46.1168,25.8802
69,45.3895,25.7844
70,45.5344,25.5305
71,45.7373,26.2334
72,44.8397,26.148
73,45.375,25.8904
74,44.9167,25.6994
75,46.3424,26.1508
76,45.4457,25.7384
77,46.8741,26.2495
78,44.9094,26.5218
79,44.635,25.9308
80,45.3351,25.7915
81,45.1857,26.3909
82,47.0734,25.8832
83,44.5616,25.8543
84,45.0788,25.5048
85,44.9438,25.3358
86,44.9918,25.902
87,45.7129,25.7144
88,44.9909,25.7214
89,45.9049,26.1714
90,45.6585,26.3288
