from_decile_0to9,to_decile_0to9,count
0,0,870
0,1,1001
0,2,1001
0,3,1034
0,4,962
0,5,1003
0,6,1037
0,7,994
0,8,953
0,9,956
1,0,981
1,1,884
1,2,986
1,3,972
1,4,976
1,5,1019
1,6,980
1,7,1015
1,8,977
1,9,1037
2,0,1055
2,1,937
2,2,901
2,3,1004
2,4,1001
2,5,985
2,6,953
2,7,994
2,8,997
2,9,1010
3,0,1019
3,1,1026
3,2,1028
3,3,864
3,4,1012
3,5,1005
3,6,999
3,7,934
3,8,978
3,9,969
4,0,1022
4,1,990
4,2,990
4,3,1018
4,4,815
4,5,946
4,6,1065
4,7,1009
4,8,987
4,9,990
5,0,950
5,1,1000
5,2,978
5,3,960
5,4,1002
5,5,911
5,6,998
5,7,1022
5,8,1008
5,9,994
6,0,1002
6,1,972
6,2,963
6,3,1017
6,4,1007
6,5,989
6,6,858
6,7,1008
6,8,1002
6,9,1006
7,0,965
7,1,985
7,2,968
7,3,978
7,4,1011
7,5,971
7,6,1014
7,7,927
7,8,1027
7,9,963
8,0,1047
8,1,978
8,2,1003
8,3,1003
8,4,993
8,5,970
8,6,981
8,7,996
8,8,883
8,9,989
9,0,936
9,1,1038
9,2,1018
9,3,972
9,4,1043
9,5,1005
9,6,952
9,7,930
9,8,1016
9,9,906
