wheel,from_pos,to_pos,same_number_hits,hit_rate,uniform_baseline,lift_vs_uniform
BARI,1,2,10,0.02,0.011111,1.8
BARI,2,5,9,0.018,0.011111,1.62
BARI,4,1,9,0.018,0.011111,1.62
BARI,4,2,9,0.018,0.011111,1.62
BARI,5,3,8,0.016,0.011111,1.44
CAGLIARI,3,2,9,0.018,0.011111,1.62
CAGLIARI,2,4,8,0.016,0.011111,1.44
CAGLIARI,3,5,8,0.016,0.011111,1.44
CAGLIARI,4,3,8,0.016,0.011111,1.44
CAGLIARI,5,5,8,0.016,0.011111,1.44
FIRENZE,4,3,10,0.02,0.011111,1.8
FIRENZE,5,5,10,0.02,0.011111,1.8
FIRENZE,2,2,9,0.018,0.011111,1.62
FIRENZE,5,3,9,0.018,0.011111,1.62
FIRENZE,1,4,8,0.016,0.011111,1.44
GENOVA,5,4,11,0.022,0.011111,1.98
GENOVA,1,5,9,0.018,0.011111,1.62
GENOVA,2,2,9,0.018,0.011111,1.62
GENOVA,2,4,9,0.018,0.011111,1.62
GENOVA,3,5,8,0.016,0.011111,1.44
MILANO,4,3,10,0.02,0.011111,1.8
MILANO,4,1,9,0.018,0.011111,1.62
MILANO,2,3,8,0.016,0.011111,1.44
MILANO,3,1,8,0.016,0.011111,1.44
MILANO,4,2,8,0.016,0.011111,1.44
NAPOLI,1,2,10,0.02,0.011111,1.8
NAPOLI,2,2,8,0.016,0.011111,1.44
NAPOLI,2,4,8,0.016,0.011111,1.44
NAPOLI,3,1,8,0.016,0.011111,1.44
NAPOLI,1,1,7,0.014,0.011111,1.26
PALERMO,4,2,11,0.022,0.011111,1.98
PALERMO,1,5,8,0.016,0.011111,1.44
PALERMO,5,1,7,0.014,0.011111,1.26
PALERMO,5,2,7,0.014,0.011111,1.26
PALERMO,5,4,7,0.014,0.011111,1.26
ROMA,1,3,11,0.022,0.011111,1.98
ROMA,2,1,11,0.022,0.011111,1.98
ROMA,4,3,10,0.02,0.011111,1.8
ROMA,5,4,9,0.018,0.011111,1.62
ROMA,2,3,8,0.016,0.011111,1.44
TORINO,1,2,10,0.02,0.011111,1.8
TORINO,2,1,8,0.016,0.011111,1.44
TORINO,2,3,8,0.016,0.011111,1.44
TORINO,3,1,8,0.016,0.011111,1.44
TORINO,3,3,8,0.016,0.011111,1.44
VENEZIA,5,5,12,0.024,0.011111,2.16
VENEZIA,3,2,11,0.022,0.011111,1.98
VENEZIA,2,4,9,0.018,0.011111,1.62
VENEZIA,4,3,9,0.018,0.011111,1.62
VENEZIA,4,4,9,0.018,0.011111,1.62
NAZIONALE,1,5,9,0.018,0.011111,1.62
NAZIONALE,3,2,9,0.018,0.011111,1.62
NAZIONALE,3,5,9,0.018,0.011111,1.62
NAZIONALE,5,1,9,0.018,0.011111,1.62
NAZIONALE,2,3,8,0.016,0.011111,1.44
