wheel,best_schema,test_top8_cross,test_top8_phase,delta,test_mc_p95,beats_mc,play_phases_train,play_test_draws
BARI,weekday,212,215,3,245,False,0,0
CAGLIARI,draw_mod9,226,231,5,245,False,1,55
FIRENZE,anchor_dr,199,206,7,244,False,0,0
GENOVA,draw_mod9,215,223,8,244,False,0,0
MILANO,draw_mod4,211,217,6,245,False,0,0
NAPOLI,weekday,221,223,2,247,False,0,0
PALERMO,anchor_decile,208,211,3,246,False,1,49
ROMA,draw_mod7,250,259,9,246,True,0,0
TORINO,draw_mod4,215,221,6,246,False,1,125
VENEZIA,draw_mod7,226,232,6,246,False,0,0
NAZIONALE,weekday,234,241,7,247,False,1,123
