# bigram counts on complement_90
# rank,count,tuple
1,6,"[55, 60]"
2,6,"[77, 62]"
3,6,"[11, 49]"
4,6,"[76, 9]"
5,6,"[87, 87]"
6,6,"[46, 35]"
7,6,"[5, 47]"
8,6,"[37, 22]"
9,5,"[52, 23]"
10,5,"[2, 9]"
11,5,"[75, 58]"
12,5,"[52, 31]"
13,5,"[75, 38]"
14,5,"[30, 32]"
15,5,"[19, 65]"
16,5,"[55, 77]"
17,5,"[80, 50]"
18,5,"[1, 39]"
19,5,"[64, 87]"
20,5,"[36, 65]"
21,5,"[23, 12]"
22,5,"[58, 14]"
23,5,"[87, 74]"
24,5,"[41, 24]"
25,5,"[31, 75]"
26,5,"[51, 80]"
27,5,"[80, 32]"
28,5,"[58, 89]"
29,5,"[89, 45]"
30,5,"[40, 60]"
31,5,"[46, 16]"
32,5,"[41, 66]"
33,5,"[24, 7]"
34,5,"[2, 13]"
35,5,"[74, 3]"
36,5,"[13, 38]"
37,5,"[25, 10]"
38,5,"[53, 43]"
39,5,"[41, 19]"
40,5,"[21, 11]"
41,5,"[53, 37]"
42,5,"[63, 50]"
43,5,"[22, 1]"
44,5,"[9, 49]"
45,5,"[3, 55]"
46,5,"[42, 11]"
47,5,"[55, 25]"
48,5,"[47, 52]"
49,5,"[74, 0]"
50,5,"[81, 51]"
51,5,"[37, 33]"
52,5,"[72, 54]"
53,4,"[23, 49]"
54,4,"[74, 12]"
55,4,"[72, 47]"
56,4,"[64, 20]"
57,4,"[89, 23]"
58,4,"[57, 21]"
59,4,"[88, 20]"
60,4,"[70, 72]"
61,4,"[45, 24]"
62,4,"[60, 82]"
63,4,"[19, 79]"
64,4,"[70, 19]"
65,4,"[71, 12]"
66,4,"[72, 70]"
67,4,"[82, 47]"
68,4,"[37, 46]"
69,4,"[23, 83]"
70,4,"[33, 75]"
71,4,"[58, 4]"
72,4,"[42, 19]"
73,4,"[45, 34]"
74,4,"[34, 52]"
75,4,"[52, 83]"
76,4,"[83, 57]"
77,4,"[8, 8]"
78,4,"[8, 10]"
79,4,"[29, 86]"
80,4,"[28, 13]"
