# trigram counts on complement_90
# rank,count,tuple
1,3,"[83, 57, 8]"
2,2,"[52, 41, 32]"
3,2,"[69, 49, 20]"
4,2,"[49, 20, 22]"
5,2,"[24, 60, 60]"
6,2,"[60, 60, 78]"
7,2,"[62, 3, 75]"
8,2,"[2, 24, 80]"
9,2,"[69, 55, 7]"
10,2,"[5, 71, 83]"
11,2,"[22, 73, 62]"
12,2,"[33, 13, 6]"
13,2,"[34, 52, 88]"
14,2,"[72, 20, 17]"
15,2,"[50, 23, 54]"
16,2,"[28, 50, 29]"
17,2,"[55, 87, 80]"
18,2,"[37, 61, 64]"
19,2,"[66, 49, 71]"
20,2,"[19, 65, 74]"
21,2,"[34, 82, 61]"
22,2,"[13, 11, 4]"
23,2,"[12, 87, 87]"
24,2,"[87, 87, 57]"
25,2,"[26, 59, 60]"
26,2,"[11, 85, 12]"
27,2,"[36, 31, 20]"
28,2,"[42, 13, 81]"
29,2,"[67, 37, 68]"
30,2,"[16, 26, 25]"
31,2,"[79, 51, 75]"
32,2,"[76, 49, 17]"
33,2,"[52, 7, 49]"
34,2,"[33, 1, 60]"
35,2,"[24, 88, 63]"
36,2,"[74, 3, 3]"
37,2,"[87, 70, 72]"
38,2,"[43, 33, 87]"
39,2,"[18, 61, 70]"
40,2,"[77, 66, 2]"
41,2,"[39, 28, 17]"
42,2,"[6, 61, 46]"
43,2,"[83, 19, 89]"
44,2,"[88, 71, 11]"
45,2,"[74, 70, 30]"
46,2,"[21, 82, 17]"
47,2,"[0, 66, 53]"
48,2,"[55, 25, 30]"
49,2,"[0, 43, 85]"
50,2,"[30, 25, 87]"
51,2,"[79, 79, 15]"
52,2,"[26, 11, 13]"
53,2,"[80, 82, 13]"
54,2,"[2, 77, 18]"
55,2,"[28, 13, 71]"
56,2,"[71, 47, 57]"
57,2,"[58, 70, 34]"
58,2,"[41, 39, 71]"
59,2,"[72, 47, 52]"
60,2,"[32, 75, 56]"
61,2,"[6, 85, 89]"
62,2,"[17, 2, 77]"
63,2,"[50, 8, 73]"
64,2,"[80, 32, 86]"
65,2,"[42, 11, 17]"
66,1,"[43, 49, 69]"
67,1,"[49, 69, 84]"
68,1,"[69, 84, 4]"
69,1,"[84, 4, 83]"
70,1,"[4, 83, 10]"
71,1,"[83, 10, 9]"
72,1,"[10, 9, 68]"
73,1,"[9, 68, 37]"
74,1,"[68, 37, 58]"
75,1,"[37, 58, 52]"
76,1,"[58, 52, 23]"
77,1,"[52, 23, 49]"
78,1,"[23, 49, 25]"
79,1,"[49, 25, 34]"
80,1,"[25, 34, 47]"
