# bigram counts on digit_sum(90-n)
# rank,count,tuple
1,94,"[8, 10]"
2,93,"[9, 8]"
3,92,"[9, 9]"
4,91,"[9, 7]"
5,90,"[7, 8]"
6,88,"[8, 8]"
7,87,"[10, 9]"
8,85,"[9, 11]"
9,85,"[8, 7]"
10,84,"[10, 7]"
11,82,"[7, 10]"
12,81,"[9, 10]"
13,81,"[10, 8]"
14,80,"[11, 8]"
15,80,"[10, 10]"
16,79,"[6, 8]"
17,79,"[8, 9]"
18,77,"[7, 7]"
19,76,"[9, 6]"
20,75,"[10, 6]"
21,74,"[6, 9]"
22,72,"[8, 11]"
23,70,"[7, 11]"
24,70,"[6, 10]"
25,70,"[11, 10]"
26,70,"[8, 6]"
27,68,"[7, 9]"
28,67,"[7, 6]"
29,66,"[6, 7]"
30,65,"[11, 9]"
31,64,"[10, 12]"
32,63,"[5, 10]"
33,62,"[5, 9]"
34,61,"[13, 9]"
35,60,"[12, 9]"
36,59,"[9, 5]"
37,59,"[11, 7]"
38,58,"[12, 8]"
39,57,"[10, 4]"
40,57,"[10, 11]"
41,56,"[8, 12]"
42,55,"[4, 10]"
43,54,"[13, 7]"
44,54,"[12, 10]"
45,54,"[6, 6]"
46,53,"[8, 3]"
47,53,"[4, 9]"
48,53,"[8, 5]"
49,53,"[9, 12]"
50,52,"[8, 13]"
51,52,"[13, 8]"
52,52,"[5, 8]"
53,51,"[4, 11]"
54,51,"[10, 5]"
55,51,"[7, 4]"
56,51,"[11, 6]"
57,51,"[7, 12]"
58,51,"[4, 8]"
59,50,"[7, 13]"
60,50,"[6, 12]"
61,50,"[5, 6]"
62,49,"[10, 13]"
63,49,"[13, 5]"
64,48,"[3, 10]"
65,47,"[5, 7]"
66,47,"[6, 4]"
67,47,"[8, 4]"
68,46,"[4, 6]"
69,46,"[10, 3]"
70,46,"[3, 8]"
71,45,"[7, 5]"
72,45,"[11, 11]"
73,45,"[12, 11]"
74,44,"[5, 11]"
75,44,"[11, 12]"
76,43,"[11, 3]"
77,43,"[3, 9]"
78,43,"[6, 5]"
79,42,"[10, 14]"
80,42,"[8, 14]"
