# trigram counts on digit_sum(90-n)
# rank,count,tuple
1,14,"[7, 10, 7]"
2,14,"[11, 6, 10]"
3,13,"[9, 8, 7]"
4,13,"[9, 9, 7]"
5,13,"[10, 9, 9]"
6,13,"[5, 9, 11]"
7,12,"[9, 7, 10]"
8,12,"[9, 7, 7]"
9,12,"[7, 10, 10]"
10,12,"[8, 8, 10]"
11,12,"[9, 9, 6]"
12,12,"[9, 11, 7]"
13,12,"[9, 11, 9]"
14,11,"[9, 7, 11]"
15,11,"[6, 10, 6]"
16,11,"[5, 10, 10]"
17,11,"[8, 7, 11]"
18,11,"[12, 9, 11]"
19,11,"[8, 10, 9]"
20,11,"[9, 6, 10]"
21,11,"[10, 6, 9]"
22,11,"[8, 8, 8]"
23,11,"[8, 10, 6]"
24,11,"[8, 11, 8]"
25,11,"[10, 7, 8]"
26,11,"[9, 11, 8]"
27,10,"[9, 8, 9]"
28,10,"[8, 8, 9]"
29,10,"[10, 7, 12]"
30,10,"[9, 9, 9]"
31,10,"[7, 10, 9]"
32,10,"[11, 8, 7]"
33,10,"[8, 9, 5]"
34,10,"[10, 10, 7]"
35,10,"[7, 11, 10]"
36,10,"[6, 10, 9]"
37,10,"[10, 7, 9]"
38,10,"[11, 10, 4]"
39,10,"[9, 7, 8]"
40,10,"[10, 8, 11]"
41,10,"[6, 9, 6]"
42,10,"[9, 5, 9]"
43,10,"[7, 6, 8]"
44,9,"[7, 7, 11]"
45,9,"[11, 9, 8]"
46,9,"[9, 10, 8]"
47,9,"[6, 8, 7]"
48,9,"[10, 10, 10]"
49,9,"[10, 10, 8]"
50,9,"[6, 8, 9]"
51,9,"[8, 9, 10]"
52,9,"[9, 10, 10]"
53,9,"[11, 9, 7]"
54,9,"[6, 8, 10]"
55,9,"[10, 9, 8]"
56,9,"[11, 4, 10]"
57,9,"[11, 10, 11]"
58,9,"[9, 11, 6]"
59,9,"[4, 11, 10]"
60,9,"[9, 8, 3]"
61,9,"[11, 10, 9]"
62,9,"[10, 7, 10]"
63,9,"[7, 6, 9]"
64,9,"[7, 8, 10]"
65,9,"[6, 7, 10]"
66,9,"[8, 10, 13]"
67,9,"[10, 9, 3]"
68,9,"[11, 8, 5]"
69,9,"[10, 9, 11]"
70,9,"[10, 8, 6]"
71,9,"[7, 9, 8]"
72,9,"[8, 7, 9]"
73,9,"[7, 8, 8]"
74,8,"[13, 7, 7]"
75,8,"[7, 11, 9]"
76,8,"[9, 9, 10]"
77,8,"[3, 7, 8]"
78,8,"[8, 7, 7]"
79,8,"[10, 8, 7]"
80,8,"[4, 11, 8]"
