# 4gram counts on signed diff (wheel=MILANO pos=1)
# rank,count,tuple
1,1,"[-6, -20, -15, 80]"
2,1,"[-20, -15, 80, -79]"
3,1,"[-15, 80, -79, 73]"
4,1,"[80, -79, 73, 1]"
5,1,"[-79, 73, 1, -59]"
6,1,"[73, 1, -59, 31]"
7,1,"[1, -59, 31, -21]"
8,1,"[-59, 31, -21, 6]"
9,1,"[31, -21, 6, 29]"
10,1,"[-21, 6, 29, -26]"
11,1,"[6, 29, -26, 24]"
12,1,"[29, -26, 24, -9]"
13,1,"[-26, 24, -9, -13]"
14,1,"[24, -9, -13, -9]"
15,1,"[-9, -13, -9, 7]"
16,1,"[-13, -9, 7, -39]"
17,1,"[-9, 7, -39, 14]"
18,1,"[7, -39, 14, 62]"
19,1,"[-39, 14, 62, -12]"
20,1,"[14, 62, -12, -56]"
21,1,"[62, -12, -56, 69]"
22,1,"[-12, -56, 69, -67]"
23,1,"[-56, 69, -67, 51]"
24,1,"[69, -67, 51, -14]"
25,1,"[-67, 51, -14, 25]"
26,1,"[51, -14, 25, -9]"
27,1,"[-14, 25, -9, -55]"
28,1,"[25, -9, -55, 31]"
29,1,"[-9, -55, 31, -38]"
30,1,"[-55, 31, -38, 15]"
31,1,"[31, -38, 15, 25]"
32,1,"[-38, 15, 25, 0]"
33,1,"[15, 25, 0, 26]"
34,1,"[25, 0, 26, -26]"
35,1,"[0, 26, -26, 45]"
36,1,"[26, -26, 45, -7]"
37,1,"[-26, 45, -7, 7]"
38,1,"[45, -7, 7, -80]"
39,1,"[-7, 7, -80, 32]"
40,1,"[7, -80, 32, -14]"
41,1,"[-80, 32, -14, -14]"
42,1,"[32, -14, -14, 26]"
43,1,"[-14, -14, 26, 11]"
44,1,"[-14, 26, 11, 9]"
45,1,"[26, 11, 9, 18]"
46,1,"[11, 9, 18, -20]"
47,1,"[9, 18, -20, -51]"
48,1,"[18, -20, -51, 4]"
49,1,"[-20, -51, 4, 64]"
50,1,"[-51, 4, 64, -10]"
51,1,"[4, 64, -10, -38]"
52,1,"[64, -10, -38, -14]"
53,1,"[-10, -38, -14, 38]"
54,1,"[-38, -14, 38, -42]"
55,1,"[-14, 38, -42, 18]"
56,1,"[38, -42, 18, 7]"
57,1,"[-42, 18, 7, 35]"
58,1,"[18, 7, 35, -9]"
59,1,"[7, 35, -9, 22]"
60,1,"[35, -9, 22, 10]"
61,1,"[-9, 22, 10, -75]"
62,1,"[22, 10, -75, 17]"
63,1,"[10, -75, 17, -6]"
64,1,"[-75, 17, -6, 31]"
65,1,"[17, -6, 31, -7]"
66,1,"[-6, 31, -7, -11]"
67,1,"[31, -7, -11, 2]"
68,1,"[-7, -11, 2, 37]"
69,1,"[-11, 2, 37, -51]"
70,1,"[2, 37, -51, -7]"
71,1,"[37, -51, -7, -4]"
72,1,"[-51, -7, -4, 20]"
73,1,"[-7, -4, 20, 10]"
74,1,"[-4, 20, 10, 10]"
75,1,"[20, 10, 10, -12]"
76,1,"[10, 10, -12, -6]"
77,1,"[10, -12, -6, 21]"
78,1,"[-12, -6, 21, 15]"
79,1,"[-6, 21, 15, -2]"
80,1,"[21, 15, -2, -9]"
