# bigram counts on signed diff (wheel=MILANO pos=1)
# rank,count,tuple
1,6,"[15, -2]"
2,6,"[0, -2]"
3,5,"[-7, -4]"
4,5,"[23, 4]"
5,5,"[7, 28]"
6,5,"[27, -14]"
7,5,"[17, 19]"
8,5,"[-22, 21]"
9,5,"[-10, 1]"
10,4,"[64, -10]"
11,4,"[-55, -2]"
12,4,"[2, 11]"
13,4,"[14, 13]"
14,4,"[-16, 0]"
15,4,"[1, 49]"
16,4,"[-18, 7]"
17,4,"[-12, 1]"
18,4,"[-2, 23]"
19,4,"[27, -31]"
20,4,"[-36, 0]"
21,4,"[8, 27]"
22,4,"[43, -51]"
23,4,"[23, -15]"
24,4,"[-29, 3]"
25,4,"[-12, -4]"
26,4,"[8, -12]"
27,4,"[15, -26]"
28,4,"[-19, 5]"
29,4,"[-20, 31]"
30,4,"[-54, 44]"
31,4,"[32, -25]"
32,4,"[20, -46]"
33,4,"[-5, -8]"
34,4,"[28, 6]"
35,4,"[-12, 2]"
36,4,"[-9, -4]"
37,4,"[22, -21]"
38,4,"[-36, 9]"
39,4,"[-5, 21]"
40,4,"[31, 6]"
41,4,"[-8, 8]"
42,4,"[69, -53]"
43,4,"[10, -3]"
44,4,"[24, 24]"
45,4,"[-26, 12]"
46,4,"[18, 3]"
47,4,"[-38, 37]"
48,4,"[-39, 39]"
49,4,"[-52, 1]"
50,4,"[-13, 13]"
51,4,"[11, -39]"
52,4,"[3, -26]"
53,4,"[-43, -9]"
54,4,"[-19, 0]"
55,4,"[13, -21]"
56,3,"[-26, 24]"
57,3,"[-38, 15]"
58,3,"[26, -26]"
59,3,"[-7, 7]"
60,3,"[11, 9]"
61,3,"[31, -7]"
62,3,"[10, 10]"
63,3,"[10, -12]"
64,3,"[33, -40]"
65,3,"[-47, 2]"
66,3,"[-5, 54]"
67,3,"[-9, 36]"
68,3,"[-24, 48]"
69,3,"[48, -21]"
70,3,"[0, 8]"
71,3,"[-4, 29]"
72,3,"[-4, 1]"
73,3,"[-35, -1]"
74,3,"[3, -5]"
75,3,"[31, -31]"
76,3,"[-31, -29]"
77,3,"[36, 17]"
78,3,"[17, -22]"
79,3,"[13, 21]"
80,3,"[21, -20]"
