# trigram counts on signed diff (wheel=MILANO pos=1)
# rank,count,tuple
1,2,"[20, 29, -2]"
2,2,"[-47, 2, 11]"
3,2,"[9, 13, 3]"
4,2,"[-36, 0, -18]"
5,2,"[-27, 36, -28]"
6,2,"[-12, -57, 20]"
7,2,"[-3, 32, -57]"
8,2,"[11, 19, 20]"
9,2,"[-7, 57, 25]"
10,2,"[-18, 9, 3]"
11,2,"[-75, 0, 30]"
12,2,"[10, -64, 31]"
13,2,"[33, -52, 48]"
14,2,"[58, -53, 0]"
15,2,"[-29, 3, -26]"
16,2,"[47, -61, 66]"
17,2,"[-12, -4, -15]"
18,2,"[43, -17, 24]"
19,2,"[-13, 13, 31]"
20,2,"[-55, 67, -5]"
21,2,"[3, 27, -8]"
22,2,"[-3, 26, -16]"
23,1,"[-6, -20, -15]"
24,1,"[-20, -15, 80]"
25,1,"[-15, 80, -79]"
26,1,"[80, -79, 73]"
27,1,"[-79, 73, 1]"
28,1,"[73, 1, -59]"
29,1,"[1, -59, 31]"
30,1,"[-59, 31, -21]"
31,1,"[31, -21, 6]"
32,1,"[-21, 6, 29]"
33,1,"[6, 29, -26]"
34,1,"[29, -26, 24]"
35,1,"[-26, 24, -9]"
36,1,"[24, -9, -13]"
37,1,"[-9, -13, -9]"
38,1,"[-13, -9, 7]"
39,1,"[-9, 7, -39]"
40,1,"[7, -39, 14]"
41,1,"[-39, 14, 62]"
42,1,"[14, 62, -12]"
43,1,"[62, -12, -56]"
44,1,"[-12, -56, 69]"
45,1,"[-56, 69, -67]"
46,1,"[69, -67, 51]"
47,1,"[-67, 51, -14]"
48,1,"[51, -14, 25]"
49,1,"[-14, 25, -9]"
50,1,"[25, -9, -55]"
51,1,"[-9, -55, 31]"
52,1,"[-55, 31, -38]"
53,1,"[31, -38, 15]"
54,1,"[-38, 15, 25]"
55,1,"[15, 25, 0]"
56,1,"[25, 0, 26]"
57,1,"[0, 26, -26]"
58,1,"[26, -26, 45]"
59,1,"[-26, 45, -7]"
60,1,"[45, -7, 7]"
61,1,"[-7, 7, -80]"
62,1,"[7, -80, 32]"
63,1,"[-80, 32, -14]"
64,1,"[32, -14, -14]"
65,1,"[-14, -14, 26]"
66,1,"[-14, 26, 11]"
67,1,"[26, 11, 9]"
68,1,"[11, 9, 18]"
69,1,"[9, 18, -20]"
70,1,"[18, -20, -51]"
71,1,"[-20, -51, 4]"
72,1,"[-51, 4, 64]"
73,1,"[4, 64, -10]"
74,1,"[64, -10, -38]"
75,1,"[-10, -38, -14]"
76,1,"[-38, -14, 38]"
77,1,"[-14, 38, -42]"
78,1,"[38, -42, 18]"
79,1,"[-42, 18, 7]"
80,1,"[18, 7, 35]"
