# bigram counts on digit_sum (single pass)
# rank,count,tuple
1,108,"[9, 9]"
2,106,"[8, 9]"
3,105,"[9, 7]"
4,100,"[9, 8]"
5,97,"[8, 8]"
6,93,"[10, 8]"
7,92,"[7, 8]"
8,91,"[8, 10]"
9,90,"[7, 9]"
10,88,"[8, 11]"
11,87,"[9, 10]"
12,87,"[9, 11]"
13,86,"[7, 10]"
14,85,"[8, 6]"
15,80,"[11, 8]"
16,79,"[5, 9]"
17,79,"[10, 9]"
18,76,"[6, 9]"
19,76,"[6, 8]"
20,74,"[9, 6]"
21,74,"[10, 7]"
22,73,"[12, 9]"
23,72,"[9, 12]"
24,71,"[8, 7]"
25,70,"[11, 7]"
26,68,"[8, 12]"
27,68,"[10, 11]"
28,68,"[10, 10]"
29,66,"[11, 9]"
30,66,"[11, 10]"
31,66,"[6, 10]"
32,65,"[9, 4]"
33,65,"[8, 5]"
34,64,"[8, 4]"
35,64,"[10, 6]"
36,63,"[12, 8]"
37,60,"[13, 9]"
38,59,"[4, 8]"
39,58,"[6, 7]"
40,58,"[7, 6]"
41,56,"[7, 11]"
42,55,"[5, 8]"
43,55,"[10, 5]"
44,54,"[5, 11]"
45,54,"[7, 7]"
46,54,"[12, 6]"
47,54,"[9, 5]"
48,53,"[13, 8]"
49,53,"[6, 5]"
50,52,"[14, 7]"
51,52,"[5, 7]"
52,52,"[11, 6]"
53,52,"[12, 11]"
54,51,"[11, 11]"
55,51,"[12, 10]"
56,51,"[14, 8]"
57,51,"[10, 12]"
58,50,"[11, 5]"
59,50,"[9, 13]"
60,50,"[5, 13]"
61,50,"[6, 6]"
62,50,"[5, 10]"
63,50,"[8, 14]"
64,50,"[10, 4]"
65,49,"[7, 4]"
66,49,"[7, 12]"
67,48,"[7, 5]"
68,47,"[3, 9]"
69,47,"[3, 8]"
70,47,"[5, 5]"
71,47,"[4, 10]"
72,46,"[8, 3]"
73,46,"[14, 9]"
74,45,"[11, 12]"
75,44,"[15, 8]"
76,44,"[6, 11]"
77,44,"[4, 9]"
78,43,"[11, 14]"
79,43,"[4, 5]"
80,43,"[9, 14]"
