# trigram counts on digit_sum (single pass)
# rank,count,tuple
1,17,"[8, 9, 9]"
2,17,"[9, 7, 9]"
3,14,"[9, 8, 10]"
4,14,"[8, 11, 6]"
5,14,"[7, 8, 5]"
6,14,"[13, 9, 7]"
7,13,"[9, 8, 8]"
8,13,"[9, 9, 11]"
9,13,"[11, 8, 8]"
10,13,"[9, 7, 10]"
11,12,"[7, 8, 9]"
12,12,"[9, 9, 8]"
13,12,"[8, 8, 8]"
14,12,"[7, 12, 8]"
15,12,"[7, 9, 11]"
16,12,"[9, 9, 9]"
17,12,"[13, 8, 8]"
18,12,"[8, 9, 10]"
19,12,"[8, 8, 10]"
20,12,"[8, 12, 9]"
21,12,"[9, 9, 12]"
22,12,"[9, 7, 8]"
23,12,"[11, 7, 8]"
24,12,"[10, 5, 9]"
25,12,"[8, 9, 7]"
26,11,"[9, 10, 9]"
27,11,"[7, 9, 10]"
28,11,"[9, 10, 11]"
29,11,"[11, 8, 11]"
30,11,"[10, 9, 8]"
31,11,"[8, 4, 5]"
32,11,"[7, 9, 9]"
33,11,"[9, 5, 9]"
34,11,"[6, 9, 7]"
35,11,"[7, 10, 11]"
36,11,"[7, 8, 7]"
37,11,"[10, 8, 9]"
38,11,"[9, 11, 8]"
39,11,"[8, 11, 10]"
40,11,"[8, 8, 9]"
41,10,"[14, 7, 8]"
42,10,"[8, 9, 6]"
43,10,"[8, 6, 9]"
44,10,"[10, 10, 8]"
45,10,"[9, 9, 7]"
46,10,"[11, 10, 8]"
47,10,"[9, 7, 11]"
48,10,"[10, 7, 10]"
49,10,"[10, 8, 5]"
50,10,"[10, 6, 8]"
51,10,"[8, 9, 15]"
52,10,"[8, 11, 9]"
53,10,"[12, 9, 7]"
54,10,"[12, 9, 12]"
55,10,"[11, 8, 9]"
56,10,"[8, 6, 12]"
57,9,"[9, 4, 8]"
58,9,"[9, 6, 5]"
59,9,"[2, 9, 4]"
60,9,"[5, 9, 8]"
61,9,"[6, 9, 8]"
62,9,"[9, 11, 7]"
63,9,"[8, 6, 10]"
64,9,"[8, 4, 7]"
65,9,"[10, 11, 7]"
66,9,"[8, 6, 8]"
67,9,"[9, 6, 7]"
68,9,"[9, 12, 8]"
69,9,"[10, 8, 10]"
70,9,"[9, 7, 12]"
71,9,"[8, 8, 11]"
72,9,"[8, 10, 9]"
73,9,"[6, 8, 11]"
74,9,"[10, 7, 6]"
75,9,"[13, 7, 9]"
76,9,"[8, 11, 8]"
77,9,"[12, 11, 8]"
78,9,"[6, 11, 10]"
79,9,"[4, 10, 8]"
80,9,"[8, 8, 12]"
