idx,year,date,draw_index_year,n,diff_signed,diff_abs,circ_dist,digit_sum,digital_root,complement_90,complement_digit_sum,complement_digital_root,n_lag5,diff_signed_lag5,digit_sum_lag5,complement_90_lag5,complement_digit_sum_lag5
0,1900,1900-01-06,1,47,,,,11,2,43,7,7,,,,,
1,1900,1900-01-13,2,41,-6,6,6,5,5,49,13,4,,,,,
2,1900,1900-01-20,3,21,-20,20,20,3,3,69,15,6,,,,,
3,1900,1900-01-27,4,6,-15,15,15,6,6,84,12,3,,,,,
4,1900,1900-02-03,5,86,80,80,10,14,5,4,4,4,,,,,
5,1900,1900-02-10,6,7,-79,79,11,7,7,83,11,2,47,,11,43,7
6,1900,1900-02-17,7,80,73,73,17,8,8,10,1,1,41,-6,5,49,13
7,1900,1900-02-24,8,81,1,1,1,9,9,9,9,9,21,-20,3,69,15
8,1900,1900-03-03,9,22,-59,59,31,4,4,68,14,5,6,-15,6,84,12
9,1900,1900-03-10,10,53,31,31,31,8,8,37,10,1,86,80,14,4,4
10,1900,1900-03-17,11,32,-21,21,21,5,5,58,13,4,7,-79,7,83,11
11,1900,1900-03-24,12,38,6,6,6,11,2,52,7,7,80,73,8,10,1
12,1900,1900-03-31,13,67,29,29,29,13,4,23,5,5,81,1,9,9,9
13,1900,1900-04-07,14,41,-26,26,26,5,5,49,13,4,22,-59,4,68,14
14,1900,1900-04-14,15,65,24,24,24,11,2,25,7,7,53,31,8,37,10
15,1900,1900-04-21,16,56,-9,9,9,11,2,34,7,7,32,-21,5,58,13
16,1900,1900-04-28,17,43,-13,13,13,7,7,47,11,2,38,6,11,52,7
17,1900,1900-05-05,18,34,-9,9,9,7,7,56,11,2,67,29,13,23,5
18,1900,1900-05-12,19,41,7,7,7,5,5,49,13,4,41,-26,5,49,13
19,1900,1900-05-19,20,2,-39,39,39,2,2,88,16,7,65,24,11,25,7
20,1900,1900-05-26,21,16,14,14,14,7,7,74,11,2,56,-9,11,34,7
21,1900,1900-06-02,22,78,62,62,28,15,6,12,3,3,43,-13,7,47,11
22,1900,1900-06-09,23,66,-12,12,12,12,3,24,6,6,34,-9,7,56,11
