decade_start,decade_label,wheel,n_draws,n_balls,chi2_uniform,entropy_bits,max_entropy_bits,entropy_ratio
1870,1870s,BARI,296,1480,84.0541,6.450292,6.491853,0.993598
1870,1870s,FIRENZE,469,2345,64.3518,6.471817,6.491853,0.996914
1870,1870s,MILANO,469,2345,82.6972,6.465303,6.491853,0.99591
1870,1870s,NAPOLI,469,2345,92.2921,6.463209,6.491853,0.995588
1870,1870s,PALERMO,469,2345,94.1343,6.462414,6.491853,0.995465
1870,1870s,ROMA,469,2345,62.8166,6.472238,6.491853,0.996978
1870,1870s,TORINO,469,2345,83.5416,6.466169,6.491853,0.996044
1870,1870s,VENEZIA,469,2345,86.1514,6.464977,6.491853,0.99586
1880,1880s,BARI,522,2610,80.5517,6.469647,6.491853,0.996579
1880,1880s,FIRENZE,522,2610,80.2759,6.468909,6.491853,0.996466
1880,1880s,MILANO,522,2610,83.7931,6.468206,6.491853,0.996357
1880,1880s,NAPOLI,522,2610,76.8276,6.470278,6.491853,0.996677
1880,1880s,PALERMO,522,2610,103.5172,6.46359,6.491853,0.995646
1880,1880s,ROMA,522,2610,100.6207,6.463757,6.491853,0.995672
1880,1880s,TORINO,522,2610,79.3103,6.469725,6.491853,0.996591
1880,1880s,VENEZIA,522,2610,96.069,6.464626,6.491853,0.995806
1890,1890s,BARI,522,2610,77.3103,6.470305,6.491853,0.996681
1890,1890s,FIRENZE,522,2610,80.0,6.469548,6.491853,0.996564
1890,1890s,MILANO,522,2610,60.4138,6.475443,6.491853,0.997472
1890,1890s,NAPOLI,522,2610,87.5862,6.467259,6.491853,0.996212
1890,1890s,PALERMO,522,2610,94.8966,6.465615,6.491853,0.995958
1890,1890s,ROMA,522,2610,81.6552,6.469001,6.491853,0.99648
1890,1890s,TORINO,522,2610,85.3793,6.468087,6.491853,0.996339
1890,1890s,VENEZIA,522,2610,95.1034,6.465213,6.491853,0.995896
1900,1900s,BARI,522,2610,103.3793,6.462999,6.491853,0.995555
1900,1900s,FIRENZE,522,2610,66.1379,6.473601,6.491853,0.997188
1900,1900s,MILANO,522,2610,101.931,6.465008,6.491853,0.995865
1900,1900s,NAPOLI,522,2610,77.4483,6.470655,6.491853,0.996735
1900,1900s,PALERMO,522,2610,86.8966,6.467616,6.491853,0.996266
1900,1900s,ROMA,522,2610,75.1034,6.47094,6.491853,0.996779
1900,1900s,TORINO,522,2610,69.6552,6.472816,6.491853,0.997068
1900,1900s,VENEZIA,522,2610,73.6552,6.471667,6.491853,0.996891
1910,1910s,BARI,521,2605,72.9232,6.471262,6.491853,0.996828
1910,1910s,FIRENZE,521,2605,96.8311,6.464549,6.491853,0.995794
1910,1910s,MILANO,521,2605,93.7908,6.465187,6.491853,0.995892
1910,1910s,NAPOLI,521,2605,74.7889,6.471058,6.491853,0.996797
1910,1910s,PALERMO,521,2605,81.6296,6.468771,6.491853,0.996444
1910,1910s,ROMA,521,2605,79.3493,6.470034,6.491853,0.996639
1910,1910s,TORINO,521,2605,76.7236,6.469982,6.491853,0.996631
1910,1910s,VENEZIA,521,2605,72.7159,6.471579,6.491853,0.996877
1920,1920s,BARI,522,2610,104.5517,6.462567,6.491853,0.995489
1920,1920s,FIRENZE,522,2610,64.6897,6.473825,6.491853,0.997223
1920,1920s,MILANO,522,2610,68.069,6.47278,6.491853,0.997062
1920,1920s,NAPOLI,522,2610,68.9655,6.472438,6.491853,0.997009
1920,1920s,PALERMO,522,2610,102.2069,6.463214,6.491853,0.995588
1920,1920s,ROMA,522,2610,81.7241,6.46922,6.491853,0.996514
1920,1920s,TORINO,522,2610,86.4138,6.468388,6.491853,0.996385
1920,1920s,VENEZIA,522,2610,63.2414,6.474325,6.491853,0.9973
1930,1930s,BARI,522,2610,63.8621,6.473978,6.491853,0.997247
1930,1930s,CAGLIARI,26,130,63.8462,6.064149,6.491853,0.934117
1930,1930s,FIRENZE,522,2610,75.7931,6.470319,6.491853,0.996683
1930,1930s,GENOVA,26,130,90.1538,5.90296,6.491853,0.909287
1930,1930s,MILANO,522,2610,108.0,6.462264,6.491853,0.995442
1930,1930s,NAPOLI,522,2610,91.7241,6.466111,6.491853,0.996035
1930,1930s,PALERMO,522,2610,96.2069,6.464621,6.491853,0.995805
1930,1930s,ROMA,522,2610,79.7931,6.468906,6.491853,0.996465
1930,1930s,TORINO,522,2610,71.7931,6.472539,6.491853,0.997025
1930,1930s,VENEZIA,522,2610,89.931,6.466489,6.491853,0.996093
1940,1940s,BARI,522,2610,85.0345,6.468238,6.491853,0.996362
1940,1940s,CAGLIARI,448,2240,85.2946,6.464703,6.491853,0.995818
1940,1940s,FIRENZE,515,2575,88.8951,6.466658,6.491853,0.996119
1940,1940s,GENOVA,520,2600,116.8923,6.458654,6.491853,0.994886
1940,1940s,MILANO,521,2605,70.7812,6.472132,6.491853,0.996962
1940,1940s,NAPOLI,517,2585,82.2379,6.468543,6.491853,0.996409
1940,1940s,PALERMO,497,2485,69.0805,6.472159,6.491853,0.996966
1940,1940s,ROMA,521,2605,83.9098,6.46858,6.491853,0.996415
1940,1940s,TORINO,521,2605,83.7716,6.468039,6.491853,0.996332
1940,1940s,VENEZIA,520,2600,94.4615,6.465509,6.491853,0.995942
1950,1950s,BARI,521,2605,80.1785,6.469442,6.491853,0.996548
1950,1950s,CAGLIARI,521,2605,59.2418,6.47548,6.491853,0.997478
1950,1950s,FIRENZE,521,2605,72.9232,6.471614,6.491853,0.996882
1950,1950s,GENOVA,521,2605,76.6545,6.470651,6.491853,0.996734
1950,1950s,MILANO,521,2605,79.0038,6.470209,6.491853,0.996666
