year,date,draw_index_year,wheel,n1,n2,n3,n4,n5
1871,1871-01-07,1,FIRENZE,15,71,18,64,81
1871,1871-01-07,1,MILANO,63,69,56,9,55
1871,1871-01-07,1,NAPOLI,36,22,73,24,31
1871,1871-01-07,1,PALERMO,72,58,86,77,14
1871,1871-01-07,1,ROMA,42,33,20,18,79
1871,1871-01-07,1,TORINO,2,9,63,27,4
1871,1871-01-07,1,VENEZIA,29,52,31,80,7
1871,1871-01-14,2,FIRENZE,79,60,46,76,42
1871,1871-01-14,2,MILANO,70,66,4,18,35
1871,1871-01-14,2,NAPOLI,47,19,84,7,3
1871,1871-01-14,2,PALERMO,89,12,70,33,14
1871,1871-01-14,2,ROMA,6,30,60,79,77
1871,1871-01-14,2,TORINO,31,79,1,43,17
1871,1871-01-14,2,VENEZIA,18,44,29,50,1
1871,1871-01-21,3,FIRENZE,29,74,8,41,28
1871,1871-01-21,3,MILANO,89,78,7,72,2
1871,1871-01-21,3,NAPOLI,10,54,86,63,32
1871,1871-01-21,3,PALERMO,9,86,71,82,66
1871,1871-01-21,3,ROMA,8,77,71,59,54
1871,1871-01-21,3,TORINO,45,74,34,82,63
1871,1871-01-21,3,VENEZIA,29,21,46,84,13
1871,1871-01-28,4,FIRENZE,22,72,17,46,59
1871,1871-01-28,4,MILANO,17,33,37,3,69
1871,1871-01-28,4,NAPOLI,5,10,40,73,84
1871,1871-01-28,4,PALERMO,29,11,40,59,89
1871,1871-01-28,4,ROMA,76,88,37,38,3
1871,1871-01-28,4,TORINO,77,67,30,23,82
1871,1871-01-28,4,VENEZIA,87,48,28,78,4
1871,1871-02-04,5,FIRENZE,11,15,19,73,85
1871,1871-02-04,5,MILANO,40,15,25,67,79
1871,1871-02-04,5,NAPOLI,63,68,46,83,57
1871,1871-02-04,5,PALERMO,5,44,75,19,25
1871,1871-02-04,5,ROMA,21,69,56,74,45
1871,1871-02-04,5,TORINO,85,20,17,57,45
1871,1871-02-04,5,VENEZIA,32,34,24,83,41
